	observed_species	shannon	singles
Ga0066607	41.0	5.09202816611	30.0
JGI26258J51719	11.0	3.33717534112	6.0
Ga0066617	21.0	4.17843919083	17.0
Ga0070742	86.0	6.19063613654	73.0
Ga0066677	131.0	6.74865395161	103.0
BBAY68	301.0	8.01317722449	260.0
JGI26271J51732	8.0	3.0	8.0
JGI26252J51714	32.0	4.90707177009	26.0
Ga0066623	15.0	3.875	14.0
Ga0164318	138.0	6.34524595381	105.0
Ga0066608	41.0	5.14629152905	34.0
Ga0066611	65.0	5.46681138615	51.0
JGI26270J51728	11.0	3.15556501333	8.0
IMNBL3	38.0	5.09401042202	23.0
2227973145	1.0	-0.0	1.0
2227953250	1.0	-0.0	1.0
Ga0102825	35.0	4.9517412733	24.0
Ga0105104	18.0	4.12192809489	16.0
FNTS010	57.0	5.72721190824	45.0
Ga0116148	5.0	2.25162916739	4.0
Ga0105247	103.0	6.29042484348	64.0
Ga0105251	70.0	5.22496760073	47.0
Ga0105064	8.0	2.92192809489	6.0
JGI24744J21845	49.0	5.45129988259	38.0
Ga0105061	7.0	2.80735492206	7.0
Ga0075299	26.0	4.70043971814	26.0
Ga0164299	117.0	6.42028106031	87.0
FWIROz	51.0	5.63590516807	47.0
FWIRA	62.0	5.93006012072	59.0
Ga0075017	263.0	7.62011302527	216.0
Ga0074053	84.0	6.15811685299	72.0
Ga0172371	14.0	3.75	12.0
Ga0105245	123.0	6.30441058102	73.0
Ga0074056	82.0	6.2419616297	72.0
Ga0126313	108.0	6.19409817301	70.0
Ga0075123	57.0	5.42006508326	50.0
Ga0075273	58.0	5.83237668183	55.0
Ga0129327	40.0	5.04087378148	28.0
Ga0105098	30.0	4.82996615001	27.0
Ga0105072	12.0	3.2607845583	10.0
Ga0074055	92.0	6.43762210858	79.0
Ga0116167	7.0	2.52192809489	6.0
Ga0075433	388.0	8.33972712545	295.0
Ga0116184	19.0	3.48904692627	14.0
Ga0105084	14.0	3.57661764491	12.0
Ga0105070	9.0	3.12192809489	8.0
Ga0105074	9.0	3.02716911844	8.0
Ga0182008	103.0	5.85321680214	65.0
Ga0008090	98.0	6.49638872919	80.0
JGI12109J20283	101.0	6.46585181585	56.0
JGI12048J13642	76.0	6.07183496119	41.0
Ga0066182	34.0	5.04729120347	31.0
Ga0102831	87.0	6.30856579985	77.0
Ga0102817	42.0	5.3194841655	33.0
Ga0102901	55.0	5.63273162526	39.0
Ga0102902	46.0	5.32617595511	35.0
Ga0102911	60.0	5.60675572459	54.0
Ga0102875	54.0	5.52153877465	41.0
Ga0102915	51.0	5.48609338037	38.0
Ga0102870	55.0	5.60189135705	43.0
Ga0102874	51.0	5.51548867535	35.0
Ga0070374	62.0	5.71770363554	45.0
JGI25910J50241	32.0	4.70619942655	25.0
Ga0102913	40.0	5.07332970195	30.0
Ga0102879	56.0	5.5982268521	41.0
Ga0102827	41.0	5.24481834981	29.0
JGI25911J50253	33.0	4.53183237121	22.0
JGI12421J11937	38.0	5.14719142957	33.0
Ga0102891	60.0	5.77800092876	43.0
meta422draft	24.0	4.56385618977	23.0
Ga0066676	207.0	7.26416478628	164.0
Ga0066605	100.0	6.33683625931	75.0
JGI26246J51724	52.0	5.50020317488	42.0
Ga0052192	13.0	3.57781953111	11.0
GB	28.0	4.51066917539	26.0
Ga0071102	44.0	5.43660543432	42.0
Ga0071100	43.0	5.40296420744	41.0
Ga0066603	89.0	6.23437154317	77.0
Ga0073924	26.0	4.62505383988	24.0
ICCgaii200	97.0	6.50436418471	82.0
FACEMDA	43.0	5.41397707318	42.0
Ga0075012	145.0	6.64434073763	109.0
BBAY80	41.0	5.25736749709	35.0
JGI26260J51721	22.0	4.28039465412	19.0
JGI26253J51717	38.0	5.06749091922	27.0
BBAY93	84.0	6.23925215594	71.0
C687J13896	11.0	3.33467914105	10.0
C687J26661	5.0	2.12808527889	4.0
C687J26660	15.0	3.78418371978	11.0
Ga0074195	21.0	4.36852252773	20.0
C687J50191	3.0	1.58496250072	3.0
JGI24732J26686	12.0	3.45281953111	9.0
C687J26860	14.0	3.77355726228	13.0
ICChiseqgaiiDRAFT	187.0	7.45966286837	163.0
JGI11643J11755	96.0	6.51580106786	85.0
Ga0105045	77.0	6.07179085854	57.0
