Collapsed_Eco	lat	long
Host-associated	39.0042816	-77.1012173
Host-associated		
Host-associated		
Host-associated		
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated		
Host-associated		
Host-associated	39.0042816	-77.1012173
Host-associated		
Host-associated		
Host-associated	39.0042816	-77.1012173
Host-associated		
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated		
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated		
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated		
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated		
Host-associated		
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated		
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated		
Host-associated		
Host-associated		
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated		
Host-associated	39.0042816	-77.1012173
Host-associated		
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated		
Host-associated		
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
Host-associated	39.0042816	-77.1012173
